epoch,reward,delivered,quantile,trajectories,type,sample_count
3,-338.67,2,0.5,1000,Random start,5
4,-319.62,5,0.5,1000,Random start,5
5,-304.54,11,0.5,1000,Random start,5
6,-289.1,7,0.5,1000,Random start,5
7,-291.93,4,0.5,1000,Random start,5
8,-263.66,13,0.5,1000,Random start,5
9,-255.75,23,0.5,1000,Random start,5
10,-245.0,15,0.5,1000,Random start,5
11,-244.55,15,0.5,1000,Random start,5
12,-229.11,22,0.5,1000,Random start,5
13,-210.45,33,0.5,1000,Random start,5
14,-195.82,36,0.5,1000,Random start,5
15,-192.49,34,0.5,1000,Random start,5
16,-178.16,48,0.5,1000,Random start,5
17,-162.42,60,0.5,1000,Random start,5
18,-166.43,63,0.5,1000,Random start,5
19,-135.08,81,0.5,1000,Random start,5
20,-125.3,89,0.5,1000,Random start,5
21,-110.17,88,0.5,1000,Random start,5
22,-99.71,95,0.5,1000,Random start,5
23,-91.6,92,0.5,1000,Random start,5
24,-72.65,100,0.5,1000,Random start,5
25,-74.57,97,0.5,1000,Random start,5
26,-71.78,98,0.5,1000,Random start,5
27,-53.65,98,0.5,1000,Random start,5
28,-50.46,100,0.5,1000,Random start,5
29,-40.67,100,0.5,1000,Random start,5
30,-38.37,100,0.5,1000,Random start,5
31,-36.76,100,0.5,1000,Random start,5
32,-28.09,100,0.5,1000,Random start,5
33,-33.29,98,0.5,1000,Random start,5
34,-28.7,100,0.5,1000,Random start,5
35,-22.91,100,0.5,1000,Random start,5
36,-23.47,100,0.5,1000,Random start,5
37,-21.11,100,0.5,1000,Random start,5
38,-19.33,99,0.5,1000,Random start,5
39,-15.64,100,0.5,1000,Random start,5
40,-13.49,100,0.5,1000,Random start,5
41,-9.64,100,0.5,1000,Random start,5
42,-12.81,99,0.5,1000,Random start,5
43,-11.42,99,0.5,1000,Random start,5
44,-12.04,100,0.5,1000,Random start,5
45,-12.69,100,0.5,1000,Random start,5
46,-15.16,100,0.5,1000,Random start,5
47,-10.42,100,0.5,1000,Random start,5
48,-11.25,99,0.5,1000,Random start,5
49,-8.15,100,0.5,1000,Random start,5
50,-8.7,100,0.5,1000,Random start,5
51,-10.41,100,0.5,1000,Random start,5
52,-7.81,99,0.5,1000,Random start,5
53,-5.93,100,0.5,1000,Random start,5
54,-5.0,100,0.5,1000,Random start,5
55,-7.08,100,0.5,1000,Random start,5
56,-5.16,100,0.5,1000,Random start,5
57,-7.26,100,0.5,1000,Random start,5
58,-5.3,100,0.5,1000,Random start,5
59,-5.26,99,0.5,1000,Random start,5
60,-7.04,100,0.5,1000,Random start,5
61,-4.11,100,0.5,1000,Random start,5
62,-5.52,100,0.5,1000,Random start,5
63,-0.86,100,0.5,1000,Random start,5
64,-2.81,100,0.5,1000,Random start,5
65,-2.63,100,0.5,1000,Random start,5
66,-4.26,100,0.5,1000,Random start,5
67,-2.44,100,0.5,1000,Random start,5
68,-4.28,100,0.5,1000,Random start,5
69,-4.22,100,0.5,1000,Random start,5
70,-5.57,100,0.5,1000,Random start,5
71,-4.24,100,0.5,1000,Random start,5
72,-4.15,100,0.5,1000,Random start,5
73,-2.75,100,0.5,1000,Random start,5
74,-3.63,100,0.5,1000,Random start,5
75,-2.71,100,0.5,1000,Random start,5
76,-4.38,100,0.5,1000,Random start,5
77,-2.82,100,0.5,1000,Random start,5
78,-2.69,100,0.5,1000,Random start,5
79,-1.32,100,0.5,1000,Random start,5
80,-3.31,100,0.5,1000,Random start,5
81,-2.51,100,0.5,1000,Random start,5
82,-1.9,100,0.5,1000,Random start,5
83,-0.28,100,0.5,1000,Random start,5
84,-1.88,100,0.5,1000,Random start,5
85,-1.95,100,0.5,1000,Random start,5
86,-2.16,100,0.5,1000,Random start,5
87,-3.09,100,0.5,1000,Random start,5
88,-2.55,100,0.5,1000,Random start,5
89,-2.03,100,0.5,1000,Random start,5
90,-1.51,100,0.5,1000,Random start,5
91,-2.06,100,0.5,1000,Random start,5
92,-3.04,100,0.5,1000,Random start,5
93,-4.67,100,0.5,1000,Random start,5
94,-2.83,100,0.5,1000,Random start,5
95,-2.74,100,0.5,1000,Random start,5
96,-4.02,100,0.5,1000,Random start,5
97,-3.88,100,0.5,1000,Random start,5
98,-2.48,100,0.5,1000,Random start,5
99,-3.43,100,0.5,1000,Random start,5
0,-362.53,4,0.8,1000,Random start,5
1,-334.31,5,0.8,1000,Random start,5
2,-317.7,5,0.8,1000,Random start,5
3,-285.89,10,0.8,1000,Random start,5
4,-261.01,16,0.8,1000,Random start,5
5,-239.35,15,0.8,1000,Random start,5
6,-222.51,24,0.8,1000,Random start,5
7,-197.81,55,0.8,1000,Random start,5
8,-164.72,74,0.8,1000,Random start,5
9,-128.18,86,0.8,1000,Random start,5
10,-99.21,93,0.8,1000,Random start,5
11,-74.0,98,0.8,1000,Random start,5
12,-58.43,99,0.8,1000,Random start,5
13,-43.12,99,0.8,1000,Random start,5
14,-32.82,100,0.8,1000,Random start,5
15,-25.55,99,0.8,1000,Random start,5
16,-16.71,100,0.8,1000,Random start,5
17,-14.67,100,0.8,1000,Random start,5
18,-8.69,100,0.8,1000,Random start,5
19,-4.3,100,0.8,1000,Random start,5
20,-3.33,100,0.8,1000,Random start,5
21,-1.81,100,0.8,1000,Random start,5
22,-1.57,100,0.8,1000,Random start,5
23,-2.18,100,0.8,1000,Random start,5
24,-1.51,100,0.8,1000,Random start,5
25,-1.04,100,0.8,1000,Random start,5
26,0.35,100,0.8,1000,Random start,5
27,0.98,100,0.8,1000,Random start,5
28,0.87,100,0.8,1000,Random start,5
29,0.38,100,0.8,1000,Random start,5
30,1.99,100,0.8,1000,Random start,5
31,2.82,100,0.8,1000,Random start,5
32,2.84,100,0.8,1000,Random start,5
33,2.4,100,0.8,1000,Random start,5
34,2.48,100,0.8,1000,Random start,5
35,2.45,100,0.8,1000,Random start,5
36,2.88,100,0.8,1000,Random start,5
37,3.04,100,0.8,1000,Random start,5
38,3.18,100,0.8,1000,Random start,5
39,2.98,100,0.8,1000,Random start,5
40,2.69,100,0.8,1000,Random start,5
41,2.48,100,0.8,1000,Random start,5
42,1.89,100,0.8,1000,Random start,5
43,3.15,100,0.8,1000,Random start,5
44,2.87,100,0.8,1000,Random start,5
45,2.38,100,0.8,1000,Random start,5
46,2.29,100,0.8,1000,Random start,5
47,2.3,100,0.8,1000,Random start,5
48,1.66,100,0.8,1000,Random start,5
49,1.3,100,0.8,1000,Random start,5
50,2.31,100,0.8,1000,Random start,5
51,2.94,100,0.8,1000,Random start,5
52,2.28,100,0.8,1000,Random start,5
53,3.18,100,0.8,1000,Random start,5
54,2.85,100,0.8,1000,Random start,5
55,1.59,100,0.8,1000,Random start,5
56,0.96,100,0.8,1000,Random start,5
57,0.78,100,0.8,1000,Random start,5
58,3.84,100,0.8,1000,Random start,5
59,1.6,100,0.8,1000,Random start,5
60,2.5,100,0.8,1000,Random start,5
61,3.04,100,0.8,1000,Random start,5
62,3.16,100,0.8,1000,Random start,5
63,2.42,100,0.8,1000,Random start,5
64,2.54,100,0.8,1000,Random start,5
65,2.71,100,0.8,1000,Random start,5
66,3.51,100,0.8,1000,Random start,5
67,1.7,100,0.8,1000,Random start,5
68,2.02,100,0.8,1000,Random start,5
69,2.8,100,0.8,1000,Random start,5
70,2.61,100,0.8,1000,Random start,5
71,2.94,100,0.8,1000,Random start,5
72,2.57,100,0.8,1000,Random start,5
73,1.96,100,0.8,1000,Random start,5
74,3.66,100,0.8,1000,Random start,5
75,2.68,100,0.8,1000,Random start,5
76,3.48,100,0.8,1000,Random start,5
77,2.61,100,0.8,1000,Random start,5
78,3.49,100,0.8,1000,Random start,5
79,3.34,100,0.8,1000,Random start,5
80,2.61,100,0.8,1000,Random start,5
81,3.4,100,0.8,1000,Random start,5
82,1.78,100,0.8,1000,Random start,5
83,2.69,100,0.8,1000,Random start,5
84,3.25,100,0.8,1000,Random start,5
85,2.77,100,0.8,1000,Random start,5
86,3.33,100,0.8,1000,Random start,5
87,2.68,100,0.8,1000,Random start,5
88,2.86,100,0.8,1000,Random start,5
89,3.1,100,0.8,1000,Random start,5
90,4.67,100,0.8,1000,Random start,5
91,4.29,100,0.8,1000,Random start,5
92,2.53,100,0.8,1000,Random start,5
93,2.18,100,0.8,1000,Random start,5
94,2.71,100,0.8,1000,Random start,5
95,2.79,100,0.8,1000,Random start,5
96,3.13,100,0.8,1000,Random start,5
97,3.19,100,0.8,1000,Random start,5
98,3.89,100,0.8,1000,Random start,5
99,1.85,100,0.8,1000,Random start,5
